Fecha,Hora,caudal m3 puelo
21/03/2022,10:46,225.810
21/03/2022,11:46,225.810
21/03/2022,12:46,224.000
21/03/2022,13:46,225.810
21/03/2022,14:46,224.000
21/03/2022,15:46,225.810
21/03/2022,16:46,224.000
21/03/2022,17:46,225.810
21/03/2022,18:46,224.000
21/03/2022,19:46,224.000
21/03/2022,20:46,224.000
21/03/2022,21:46,224.000
21/03/2022,22:46,222.190
21/03/2022,23:46,225.810
22/03/2022,00:46,224.000
22/03/2022,01:46,224.000
22/03/2022,02:46,222.190
22/03/2022,03:46,224.000
22/03/2022,04:46,224.000
22/03/2022,05:46,224.000
22/03/2022,06:46,222.190
22/03/2022,07:46,224.000
22/03/2022,08:46,224.000
22/03/2022,09:46,224.000
